epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
136,12616,0.86868,0.48093,0.01224,0.92479,0.9047,0.96003,0.76767,0.78381,0.37625,0.01445,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,12712.7,0.86797,0.47537,0.0122,0.92554,0.90571,0.96003,0.76816,0.78383,0.37528,0.01445,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,12808.4,0.86015,0.47502,0.01213,0.9278,0.90593,0.95996,0.76784,0.78365,0.37472,0.01445,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,12904.1,0.86038,0.47549,0.01213,0.92839,0.90411,0.95994,0.76782,0.78291,0.37501,0.01444,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,13002.1,0.85743,0.46755,0.01209,0.92632,0.90478,0.95975,0.76791,0.7826,0.37548,0.01443,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,13125.3,0.78258,0.34581,0.01376,0.9274,0.90469,0.95975,0.76815,0.78239,0.37544,0.01442,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,13220.1,0.75533,0.32903,0.01317,0.92954,0.90215,0.96002,0.76871,0.78202,0.37527,0.01442,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,13313.7,0.74929,0.32622,0.013,0.93024,0.90451,0.96019,0.76901,0.78185,0.37394,0.01441,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,13408.2,0.74802,0.32061,0.01295,0.9301,0.90292,0.95995,0.76916,0.78171,0.37317,0.0144,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,13502,0.74171,0.31753,0.01292,0.92952,0.90439,0.95937,0.76904,0.78141,0.37341,0.0144,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,13596.1,0.73767,0.31494,0.01274,0.92784,0.90502,0.95925,0.76905,0.78094,0.37396,0.01439,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,13690.2,0.73613,0.31297,0.01276,0.93116,0.90289,0.95947,0.76956,0.7811,0.37255,0.01439,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,13784.1,0.73046,0.30983,0.01264,0.93057,0.90339,0.9596,0.76983,0.78106,0.37176,0.01439,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,13878,0.73018,0.31396,0.01263,0.92892,0.90545,0.95992,0.77008,0.78065,0.37143,0.01439,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,13972.1,0.72353,0.30644,0.01248,0.93361,0.90167,0.95961,0.76999,0.7806,0.37141,0.01439,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
