epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2863.68,1.15181,0.76663,0.01734,0.91326,0.86148,0.93361,0.71248,0.89408,0.47914,0.01695,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2954.81,1.14262,0.75561,0.01726,0.90682,0.86592,0.9334,0.71703,0.88043,0.46046,0.01654,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,3051.38,1.14943,0.75855,0.01735,0.89765,0.85641,0.93178,0.70929,0.89404,0.48481,0.01679,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,3141.87,1.13372,0.75896,0.01697,0.8982,0.87402,0.93734,0.72167,0.87565,0.45355,0.01638,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,3234.37,1.13628,0.74805,0.01698,0.91237,0.8619,0.93686,0.71867,0.87877,0.46114,0.01647,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,3325.56,1.13598,0.74936,0.01709,0.90349,0.87299,0.94048,0.72247,0.87469,0.44766,0.01631,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3416.69,1.13016,0.73804,0.01708,0.91398,0.86699,0.94049,0.72506,0.868,0.44552,0.01617,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3507.57,1.12722,0.73113,0.01704,0.90503,0.87208,0.94017,0.72556,0.8644,0.44179,0.01611,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3598.51,1.12038,0.7201,0.01701,0.91475,0.87002,0.94407,0.72984,0.86289,0.4385,0.01615,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3691.16,1.11257,0.72329,0.01677,0.91466,0.87554,0.9441,0.7326,0.85754,0.43725,0.01602,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3781.86,1.12057,0.72075,0.01673,0.90686,0.8784,0.94407,0.73393,0.85039,0.43132,0.01583,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3874.72,1.11564,0.71827,0.01678,0.91105,0.87739,0.94463,0.73508,0.85098,0.43011,0.01579,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3966.66,1.1127,0.70708,0.01656,0.90274,0.88947,0.94528,0.73412,0.85025,0.42647,0.01583,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,4058.95,1.11929,0.7133,0.01671,0.91788,0.88006,0.94619,0.73621,0.84554,0.42493,0.01572,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,4150.28,1.10783,0.70282,0.01664,0.91238,0.88184,0.94548,0.73597,0.84633,0.427,0.01573,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,4241.35,1.10624,0.6968,0.01657,0.91201,0.88509,0.9463,0.7392,0.83944,0.42494,0.01564,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,4333.65,1.10087,0.69717,0.01641,0.92435,0.87541,0.94696,0.73968,0.83733,0.42843,0.01556,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,4426.62,1.10011,0.68782,0.0164,0.91934,0.8796,0.94832,0.74191,0.83313,0.42637,0.01549,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,4519.01,1.09865,0.69243,0.0164,0.91956,0.88447,0.94997,0.74415,0.82969,0.42297,0.01542,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4610.69,1.08978,0.68007,0.01627,0.91224,0.8879,0.94948,0.74472,0.8288,0.41535,0.0154,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4702.71,1.08955,0.6872,0.01626,0.91959,0.88819,0.95072,0.74553,0.82631,0.41738,0.01532,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4794.51,1.08698,0.678,0.01628,0.92198,0.88491,0.95044,0.74619,0.82324,0.42235,0.01526,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4888.63,1.09088,0.67312,0.01631,0.92372,0.88214,0.9501,0.74618,0.82512,0.41665,0.01531,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4980.03,1.07947,0.67195,0.01595,0.92485,0.88215,0.94954,0.74527,0.82432,0.41749,0.01531,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,5072.02,1.07699,0.66746,0.01616,0.9116,0.89196,0.94945,0.74691,0.82181,0.42026,0.01525,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,5164.23,1.07301,0.6683,0.01597,0.9184,0.88862,0.94981,0.74651,0.82201,0.41564,0.01524,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,5256.71,1.07767,0.66262,0.01597,0.91953,0.89031,0.95056,0.74827,0.82153,0.41262,0.01521,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,5347.77,1.07319,0.67228,0.01599,0.92135,0.89207,0.95191,0.74954,0.81951,0.40893,0.01515,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,5440.08,1.07596,0.66421,0.01594,0.91262,0.89483,0.95106,0.74886,0.81899,0.41163,0.01513,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,5532.39,1.06418,0.65711,0.01587,0.91571,0.89488,0.95145,0.74982,0.81797,0.40948,0.01511,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,5625.19,1.05946,0.65865,0.01571,0.91386,0.89492,0.95206,0.7502,0.8168,0.40817,0.01508,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,5715.9,1.05921,0.6514,0.01569,0.9183,0.89332,0.95252,0.75117,0.81575,0.40817,0.01507,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5809.02,1.06261,0.64633,0.01571,0.91752,0.89313,0.9525,0.75145,0.81436,0.40741,0.01506,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5900.93,1.05615,0.64944,0.01577,0.91862,0.89207,0.95245,0.75193,0.81388,0.40743,0.01506,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5993.27,1.05983,0.64639,0.01571,0.92466,0.88799,0.95264,0.75289,0.81289,0.40607,0.01503,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,6085.75,1.05452,0.64376,0.01556,0.92237,0.89178,0.95333,0.75321,0.8132,0.40481,0.01503,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,6176.99,1.05418,0.6301,0.01556,0.9225,0.89323,0.95367,0.75424,0.81129,0.40274,0.01499,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,6268.59,1.04528,0.63433,0.0154,0.92415,0.8915,0.95383,0.75427,0.81026,0.40487,0.01497,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,6359.34,1.04772,0.63049,0.01558,0.92707,0.89121,0.9542,0.75494,0.80982,0.40313,0.01496,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,6451.69,1.03958,0.62582,0.01521,0.92709,0.89059,0.95402,0.75498,0.80808,0.40355,0.01492,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,6544.32,1.0478,0.62382,0.01535,0.9278,0.89233,0.95435,0.75501,0.8078,0.40161,0.01491,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,6635.8,1.03815,0.61817,0.01534,0.92688,0.89564,0.955,0.75626,0.8071,0.40018,0.01489,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,6727.87,1.03073,0.62717,0.0151,0.92934,0.89493,0.95512,0.75654,0.80632,0.40015,0.01487,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,6819.42,1.0306,0.62003,0.01526,0.92704,0.89546,0.95524,0.75662,0.80544,0.40041,0.01485,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,6911.54,1.03526,0.61479,0.01511,0.92712,0.89625,0.95564,0.75654,0.80543,0.39987,0.01485,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,7002.98,1.02969,0.60922,0.01518,0.92907,0.89702,0.95563,0.75705,0.80514,0.3978,0.01484,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,7094.27,1.02379,0.60799,0.01497,0.92817,0.89601,0.95555,0.75715,0.80566,0.3966,0.01485,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
