epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
137,10722.1,0.77911,0.45451,1.03575,0.93285,0.90414,0.96102,0.76573,0.7446,0.35856,0.93512,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,10798.9,0.77448,0.45456,1.03546,0.92838,0.9105,0.96133,0.76614,0.74429,0.35826,0.9349,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,10874.1,0.77543,0.45044,1.03562,0.9321,0.90632,0.96114,0.76623,0.74433,0.35785,0.93526,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,10953.1,0.77227,0.45092,1.03574,0.93098,0.90724,0.96112,0.76632,0.74406,0.35747,0.93509,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,11057,0.71639,0.35631,0.98084,0.93078,0.90731,0.96133,0.76644,0.74357,0.35727,0.93495,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,11138.8,0.69453,0.33873,0.96762,0.93123,0.90776,0.96128,0.76659,0.74337,0.35704,0.93483,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,11216.3,0.68972,0.3376,0.96685,0.93059,0.9083,0.96141,0.76658,0.74305,0.35664,0.93468,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,11292.2,0.68864,0.33571,0.96685,0.92977,0.90946,0.96144,0.7667,0.74262,0.35635,0.93453,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,11366.7,0.68111,0.329,0.96111,0.93002,0.90932,0.96164,0.76697,0.74231,0.35628,0.93427,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,11441.6,0.67646,0.32517,0.95613,0.93046,0.90936,0.96177,0.76696,0.74207,0.35606,0.93422,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,11516,0.67955,0.32787,0.96056,0.93094,0.90891,0.96177,0.76705,0.74182,0.35578,0.93419,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,11591.7,0.67056,0.32412,0.95381,0.93137,0.90932,0.96184,0.76705,0.74159,0.35576,0.93409,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,11671.4,0.66669,0.3219,0.95575,0.93165,0.90939,0.96201,0.76693,0.74128,0.35555,0.93396,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,11750.4,0.66366,0.31826,0.95196,0.93232,0.90839,0.96117,0.76751,0.74112,0.3553,0.93386,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
