epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2478.13,1.01024,0.67088,1.14961,0.91342,0.8565,0.93403,0.71083,0.85023,0.46531,0.9907,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2555.68,1.00644,0.66327,1.14525,0.8995,0.86663,0.93584,0.71258,0.84363,0.45892,0.98874,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2632.42,1.00641,0.66288,1.14766,0.90652,0.85353,0.93162,0.70992,0.84628,0.46563,0.99001,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2707.42,0.99977,0.66105,1.14666,0.91657,0.85712,0.93655,0.71621,0.84166,0.45778,0.99234,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2785.57,0.99879,0.6583,1.14317,0.91049,0.86023,0.93748,0.72086,0.82842,0.4482,0.98493,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2864.28,0.99517,0.65745,1.14232,0.9141,0.86925,0.93971,0.72047,0.82985,0.44028,0.98415,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2941.74,0.99131,0.65158,1.14158,0.91051,0.86937,0.94085,0.72235,0.82183,0.43724,0.98017,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3020.42,0.98961,0.64171,1.13671,0.91613,0.86522,0.93997,0.72112,0.82448,0.44055,0.97946,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3098.95,0.98177,0.64213,1.13712,0.90698,0.87315,0.94225,0.72534,0.81921,0.43144,0.97796,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3178.85,0.97444,0.63646,1.13545,0.91359,0.87551,0.94355,0.72787,0.81609,0.42581,0.97847,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3259.99,0.98133,0.63549,1.12893,0.9051,0.88594,0.94406,0.72828,0.81722,0.43052,0.97354,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3338.58,0.97295,0.63389,1.12782,0.91282,0.87864,0.94447,0.73058,0.81401,0.42696,0.96841,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3416.24,0.96731,0.6269,1.12487,0.90537,0.88496,0.94518,0.73112,0.80792,0.4214,0.96803,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3493.16,0.97369,0.62788,1.12722,0.91502,0.88023,0.9459,0.73385,0.80387,0.41753,0.96735,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3569.54,0.96831,0.62209,1.129,0.91812,0.87641,0.94659,0.73423,0.80765,0.42261,0.97271,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3647.19,0.96809,0.62167,1.12797,0.91267,0.88157,0.94688,0.735,0.80361,0.41655,0.96796,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3724.83,0.96217,0.6158,1.12437,0.91048,0.88502,0.94771,0.73619,0.79695,0.41165,0.96594,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3803.29,0.95789,0.61147,1.12134,0.91337,0.88554,0.94859,0.73939,0.79264,0.40851,0.96307,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3880.59,0.96036,0.61429,1.1219,0.9119,0.88493,0.94997,0.73984,0.79245,0.40848,0.96042,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3958.71,0.95104,0.60757,1.11883,0.90945,0.89062,0.95048,0.74088,0.79131,0.40615,0.96165,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4037.65,0.95278,0.60939,1.12069,0.91156,0.8877,0.95037,0.74098,0.78982,0.40421,0.96067,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4116.62,0.94817,0.60161,1.1168,0.9074,0.89592,0.9497,0.74119,0.78943,0.40503,0.96037,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4193.7,0.95159,0.60379,1.1185,0.90919,0.89795,0.94932,0.74201,0.78688,0.4033,0.95935,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4271.64,0.94471,0.59587,1.11059,0.91895,0.88984,0.94965,0.74381,0.7851,0.40247,0.95706,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4349.88,0.94055,0.59585,1.11075,0.91353,0.89279,0.95049,0.74415,0.78466,0.40025,0.95589,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4428.67,0.93917,0.59649,1.11356,0.91756,0.88833,0.9505,0.74486,0.78275,0.4004,0.95538,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4506.52,0.94092,0.59893,1.11136,0.9207,0.88514,0.95072,0.74528,0.78208,0.39873,0.95389,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4582.42,0.9381,0.59834,1.11221,0.91953,0.88801,0.9514,0.74586,0.78035,0.39734,0.95317,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,4660.26,0.93521,0.59346,1.11119,0.92766,0.88273,0.95149,0.74674,0.7784,0.39535,0.95279,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4737.56,0.9279,0.588,1.10527,0.92391,0.8862,0.95185,0.74691,0.77721,0.39442,0.95212,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4813.11,0.93125,0.58751,1.10992,0.91908,0.8912,0.9526,0.74757,0.77675,0.39261,0.95222,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4888.03,0.92725,0.58414,1.10769,0.91941,0.89013,0.95198,0.74814,0.77595,0.39134,0.95172,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4965.39,0.92723,0.5859,1.10646,0.91913,0.89262,0.95212,0.74877,0.77548,0.39052,0.95151,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5043.51,0.92697,0.58558,1.10723,0.91674,0.89508,0.95253,0.74968,0.77388,0.38912,0.95088,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5121.67,0.92236,0.58286,1.10603,0.91364,0.89853,0.9527,0.75023,0.77263,0.38782,0.95091,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
